"id","province_id","name","created_at","updated_at"
"137","34","Gunungsitoli",NULL,NULL
"138","20","Halmahera Barat",NULL,NULL
"139","20","Halmahera Selatan",NULL,NULL
"140","20","Halmahera Tengah",NULL,NULL
"141","20","Halmahera Timur",NULL,NULL
"142","20","Halmahera Utara",NULL,NULL
"143","13","Hulu Sungai Selatan",NULL,NULL
"144","13","Hulu Sungai Tengah",NULL,NULL
"145","13","Hulu Sungai Utara",NULL,NULL
"146","34","Humbang Hasundutan",NULL,NULL
"147","26","Indragiri Hilir",NULL,NULL
"148","26","Indragiri Hulu",NULL,NULL
"149","9","Indramayu",NULL,NULL
"150","24","Intan Jaya",NULL,NULL
"151","6","Jakarta Barat",NULL,NULL
"152","6","Jakarta Pusat",NULL,NULL
"153","6","Jakarta Selatan",NULL,NULL
"154","6","Jakarta Timur",NULL,NULL
"155","6","Jakarta Utara",NULL,NULL
"156","8","Jambi",NULL,NULL
"157","24","Jayapura",NULL,NULL
"158","24","Jayapura",NULL,NULL
"159","24","Jayawijaya",NULL,NULL
"160","11","Jember",NULL,NULL
"161","1","Jembrana",NULL,NULL
"162","28","Jeneponto",NULL,NULL
"163","10","Jepara",NULL,NULL
"164","11","Jombang",NULL,NULL
"165","25","Kaimana",NULL,NULL
"166","26","Kampar",NULL,NULL
"167","14","Kapuas",NULL,NULL
"168","12","Kapuas Hulu",NULL,NULL
"169","10","Karanganyar",NULL,NULL
"170","1","Karangasem",NULL,NULL
"171","9","Karawang",NULL,NULL
"172","17","Karimun",NULL,NULL
"173","34","Karo",NULL,NULL
"174","14","Katingan",NULL,NULL
"175","4","Kaur",NULL,NULL
"176","12","Kayong Utara",NULL,NULL
"177","10","Kebumen",NULL,NULL
"178","11","Kediri",NULL,NULL
"179","11","Kediri",NULL,NULL
"180","24","Keerom",NULL,NULL
"181","10","Kendal",NULL,NULL
"182","30","Kendari",NULL,NULL
"183","4","Kepahiang",NULL,NULL
"184","17","Kepulauan Anambas",NULL,NULL
"185","19","Kepulauan Aru",NULL,NULL
"186","32","Kepulauan Mentawai",NULL,NULL
"187","26","Kepulauan Meranti",NULL,NULL
"188","31","Kepulauan Sangihe",NULL,NULL
"189","6","Kepulauan Seribu",NULL,NULL
"190","31","Kepulauan Siau Tagulandang Biaro (Sitaro)",NULL,NULL
"191","20","Kepulauan Sula",NULL,NULL
"192","31","Kepulauan Talaud",NULL,NULL
"193","24","Kepulauan Yapen (Yapen Waropen)",NULL,NULL
"194","8","Kerinci",NULL,NULL
"195","12","Ketapang",NULL,NULL
"196","10","Klaten",NULL,NULL
"197","1","Klungkung",NULL,NULL
"198","30","Kolaka",NULL,NULL
"199","30","Kolaka Utara",NULL,NULL
"200","30","Konawe",NULL,NULL
"201","30","Konawe Selatan",NULL,NULL
"202","30","Konawe Utara",NULL,NULL
"203","13","Kotabaru",NULL,NULL
"204","31","Kotamobagu",NULL,NULL
"205","14","Kotawaringin Barat",NULL,NULL
"206","14","Kotawaringin Timur",NULL,NULL
"207","26","Kuantan Singingi",NULL,NULL
"208","12","Kubu Raya",NULL,NULL
"209","10","Kudus",NULL,NULL
"210","5","Kulon Progo",NULL,NULL
"211","9","Kuningan",NULL,NULL
"212","23","Kupang",NULL,NULL
"213","23","Kupang",NULL,NULL
"214","15","Kutai Barat",NULL,NULL
"215","15","Kutai Kartanegara",NULL,NULL
"216","15","Kutai Timur",NULL,NULL
"217","34","Labuhan Batu",NULL,NULL
"218","34","Labuhan Batu Selatan",NULL,NULL
"219","34","Labuhan Batu Utara",NULL,NULL
"220","33","Lahat",NULL,NULL
"221","14","Lamandau",NULL,NULL
"222","11","Lamongan",NULL,NULL
"223","18","Lampung Barat",NULL,NULL
"224","18","Lampung Selatan",NULL,NULL
"225","18","Lampung Tengah",NULL,NULL
"226","18","Lampung Timur",NULL,NULL
"227","18","Lampung Utara",NULL,NULL
"228","12","Landak",NULL,NULL
"229","34","Langkat",NULL,NULL
"230","21","Langsa",NULL,NULL
"231","24","Lanny Jaya",NULL,NULL
"232","3","Lebak",NULL,NULL
"233","4","Lebong",NULL,NULL
"234","23","Lembata",NULL,NULL
"235","21","Lhokseumawe",NULL,NULL
"236","32","Lima Puluh Koto/Kota",NULL,NULL
"237","17","Lingga",NULL,NULL
"238","22","Lombok Barat",NULL,NULL
"239","22","Lombok Tengah",NULL,NULL
"240","22","Lombok Timur",NULL,NULL
"241","22","Lombok Utara",NULL,NULL
"242","33","Lubuk Linggau",NULL,NULL
"243","11","Lumajang",NULL,NULL
"244","28","Luwu",NULL,NULL
"245","28","Luwu Timur",NULL,NULL
"246","28","Luwu Utara",NULL,NULL
"247","11","Madiun",NULL,NULL
"248","11","Madiun",NULL,NULL
"249","10","Magelang",NULL,NULL
"250","10","Magelang",NULL,NULL
"251","11","Magetan",NULL,NULL
"252","9","Majalengka",NULL,NULL
"253","27","Majene",NULL,NULL
"254","28","Makassar",NULL,NULL
"255","11","Malang",NULL,NULL
"256","11","Malang",NULL,NULL
"257","16","Malinau",NULL,NULL
"258","19","Maluku Barat Daya",NULL,NULL
"259","19","Maluku Tengah",NULL,NULL
"260","19","Maluku Tenggara",NULL,NULL
"261","19","Maluku Tenggara Barat",NULL,NULL
"262","27","Mamasa",NULL,NULL
"263","24","Mamberamo Raya",NULL,NULL
"264","24","Mamberamo Tengah",NULL,NULL
"265","27","Mamuju",NULL,NULL
"266","27","Mamuju Utara",NULL,NULL
"267","31","Manado",NULL,NULL
"268","34","Mandailing Natal",NULL,NULL
"269","23","Manggarai",NULL,NULL
"270","23","Manggarai Barat",NULL,NULL
"271","23","Manggarai Timur",NULL,NULL
"272","25","Manokwari",NULL,NULL
"273","25","Manokwari Selatan",NULL,NULL
"274","24","Mappi",NULL,NULL
"275","28","Maros",NULL,NULL
"276","22","Mataram",NULL,NULL
"277","25","Maybrat",NULL,NULL
"278","34","Medan",NULL,NULL
"279","12","Melawi",NULL,NULL
"280","8","Merangin",NULL,NULL
"281","24","Merauke",NULL,NULL
"282","18","Mesuji",NULL,NULL
"283","18","Metro",NULL,NULL
"284","24","Mimika",NULL,NULL
"285","31","Minahasa",NULL,NULL
"286","31","Minahasa Selatan",NULL,NULL
"287","31","Minahasa Tenggara",NULL,NULL
"288","31","Minahasa Utara",NULL,NULL
"289","11","Mojokerto",NULL,NULL
"290","11","Mojokerto",NULL,NULL
"291","29","Morowali",NULL,NULL
"292","33","Muara Enim",NULL,NULL
"293","8","Muaro Jambi",NULL,NULL
"294","4","Muko Muko",NULL,NULL
"295","30","Muna",NULL,NULL
"296","14","Murung Raya",NULL,NULL
"297","33","Musi Banyuasin",NULL,NULL
"298","33","Musi Rawas",NULL,NULL
"299","24","Nabire",NULL,NULL
"300","21","Nagan Raya",NULL,NULL
"301","23","Nagekeo",NULL,NULL
"302","17","Natuna",NULL,NULL
"303","24","Nduga",NULL,NULL
"304","23","Ngada",NULL,NULL
"305","11","Nganjuk",NULL,NULL
"306","11","Ngawi",NULL,NULL
"307","34","Nias",NULL,NULL
"308","34","Nias Barat",NULL,NULL
"309","34","Nias Selatan",NULL,NULL
"310","34","Nias Utara",NULL,NULL
"311","16","Nunukan",NULL,NULL
"312","33","Ogan Ilir",NULL,NULL
"313","33","Ogan Komering Ilir",NULL,NULL
"314","33","Ogan Komering Ulu",NULL,NULL
"315","33","Ogan Komering Ulu Selatan",NULL,NULL
"316","33","Ogan Komering Ulu Timur",NULL,NULL
"317","11","Pacitan",NULL,NULL
"318","32","Padang",NULL,NULL
"319","34","Padang Lawas",NULL,NULL
"320","34","Padang Lawas Utara",NULL,NULL
"321","32","Padang Panjang",NULL,NULL
"322","32","Padang Pariaman",NULL,NULL
"323","34","Padang Sidempuan",NULL,NULL
"324","33","Pagar Alam",NULL,NULL
"325","34","Pakpak Bharat",NULL,NULL
"326","14","Palangka Raya",NULL,NULL
"327","33","Palembang",NULL,NULL
"328","28","Palopo",NULL,NULL
"329","29","Palu",NULL,NULL
"330","11","Pamekasan",NULL,NULL
"331","3","Pandeglang",NULL,NULL
"332","9","Pangandaran",NULL,NULL
"333","28","Pangkajene Kepulauan",NULL,NULL
"334","2","Pangkal Pinang",NULL,NULL
"335","24","Paniai",NULL,NULL
"336","28","Parepare",NULL,NULL
"337","32","Pariaman",NULL,NULL
"338","29","Parigi Moutong",NULL,NULL
"339","32","Pasaman",NULL,NULL
"340","32","Pasaman Barat",NULL,NULL
"341","15","Paser",NULL,NULL
"342","11","Pasuruan",NULL,NULL
"343","11","Pasuruan",NULL,NULL
"344","10","Pati",NULL,NULL
"345","32","Payakumbuh",NULL,NULL
"346","25","Pegunungan Arfak",NULL,NULL
"347","24","Pegunungan Bintang",NULL,NULL
"348","10","Pekalongan",NULL,NULL
"349","10","Pekalongan",NULL,NULL
"350","26","Pekanbaru",NULL,NULL
"351","26","Pelalawan",NULL,NULL
"352","10","Pemalang",NULL,NULL
"353","34","Pematang Siantar",NULL,NULL
"354","15","Penajam Paser Utara",NULL,NULL
"355","18","Pesawaran",NULL,NULL
"356","18","Pesisir Barat",NULL,NULL
"357","32","Pesisir Selatan",NULL,NULL
"358","21","Pidie",NULL,NULL
"359","21","Pidie Jaya",NULL,NULL
"360","28","Pinrang",NULL,NULL
"361","7","Pohuwato",NULL,NULL
"362","27","Polewali Mandar",NULL,NULL
"363","11","Ponorogo",NULL,NULL
"364","12","Pontianak",NULL,NULL
"365","12","Pontianak",NULL,NULL
"366","29","Poso",NULL,NULL
"367","33","Prabumulih",NULL,NULL
"368","18","Pringsewu",NULL,NULL
"369","11","Probolinggo",NULL,NULL
"370","11","Probolinggo",NULL,NULL
"371","14","Pulang Pisau",NULL,NULL
"372","20","Pulau Morotai",NULL,NULL
"373","24","Puncak",NULL,NULL
"374","24","Puncak Jaya",NULL,NULL
"375","10","Purbalingga",NULL,NULL
"376","9","Purwakarta",NULL,NULL
"377","10","Purworejo",NULL,NULL
"378","25","Raja Ampat",NULL,NULL
"379","4","Rejang Lebong",NULL,NULL
"380","10","Rembang",NULL,NULL
"381","26","Rokan Hilir",NULL,NULL
"382","26","Rokan Hulu",NULL,NULL
"383","23","Rote Ndao",NULL,NULL
"384","21","Sabang",NULL,NULL
"385","23","Sabu Raijua",NULL,NULL
"386","10","Salatiga",NULL,NULL
"387","15","Samarinda",NULL,NULL
"388","12","Sambas",NULL,NULL
"389","34","Samosir",NULL,NULL
"390","11","Sampang",NULL,NULL
"391","12","Sanggau",NULL,NULL
"392","24","Sarmi",NULL,NULL
"393","8","Sarolangun",NULL,NULL
"394","32","Sawah Lunto",NULL,NULL
"395","12","Sekadau",NULL,NULL
"396","28","Selayar (Kepulauan Selayar)",NULL,NULL
"397","4","Seluma",NULL,NULL
"398","10","Semarang",NULL,NULL
"399","10","Semarang",NULL,NULL
"400","19","Seram Bagian Barat",NULL,NULL
"401","19","Seram Bagian Timur",NULL,NULL
"402","3","Serang",NULL,NULL
"403","3","Serang",NULL,NULL
"404","34","Serdang Bedagai",NULL,NULL
"405","14","Seruyan",NULL,NULL
"406","26","Siak",NULL,NULL
"407","34","Sibolga",NULL,NULL
"408","28","Sidenreng Rappang/Rapang",NULL,NULL
"409","11","Sidoarjo",NULL,NULL
"410","29","Sigi",NULL,NULL
"411","32","Sijunjung (Sawah Lunto Sijunjung)",NULL,NULL
"412","23","Sikka",NULL,NULL
"413","34","Simalungun",NULL,NULL
"414","21","Simeulue",NULL,NULL
"415","12","Singkawang",NULL,NULL
"416","28","Sinjai",NULL,NULL
"417","12","Sintang",NULL,NULL
"418","11","Situbondo",NULL,NULL
"419","5","Sleman",NULL,NULL
"420","32","Solok",NULL,NULL
"421","32","Solok",NULL,NULL
"422","32","Solok Selatan",NULL,NULL
"423","28","Soppeng",NULL,NULL
"424","25","Sorong",NULL,NULL
"425","25","Sorong",NULL,NULL
"426","25","Sorong Selatan",NULL,NULL
"427","10","Sragen",NULL,NULL
"428","9","Subang",NULL,NULL
"429","21","Subulussalam",NULL,NULL
"430","9","Sukabumi",NULL,NULL
"431","9","Sukabumi",NULL,NULL
"432","14","Sukamara",NULL,NULL
"433","10","Sukoharjo",NULL,NULL
"434","23","Sumba Barat",NULL,NULL
"435","23","Sumba Barat Daya",NULL,NULL
"436","23","Sumba Tengah",NULL,NULL
"437","23","Sumba Timur",NULL,NULL
"438","22","Sumbawa",NULL,NULL
"439","22","Sumbawa Barat",NULL,NULL
"440","9","Sumedang",NULL,NULL
"441","11","Sumenep",NULL,NULL
"442","8","Sungaipenuh",NULL,NULL
"443","24","Supiori",NULL,NULL
"444","11","Surabaya",NULL,NULL
"445","10","Surakarta (Solo)",NULL,NULL
"446","13","Tabalong",NULL,NULL
"447","1","Tabanan",NULL,NULL
"448","28","Takalar",NULL,NULL
"449","25","Tambrauw",NULL,NULL
"450","16","Tana Tidung",NULL,NULL
"451","28","Tana Toraja",NULL,NULL
"452","13","Tanah Bumbu",NULL,NULL
"453","32","Tanah Datar",NULL,NULL
"454","13","Tanah Laut",NULL,NULL
"455","3","Tangerang",NULL,NULL
"456","3","Tangerang",NULL,NULL
"457","3","Tangerang Selatan",NULL,NULL
"458","18","Tanggamus",NULL,NULL
"459","34","Tanjung Balai",NULL,NULL
"460","8","Tanjung Jabung Barat",NULL,NULL
"461","8","Tanjung Jabung Timur",NULL,NULL
"462","17","Tanjung Pinang",NULL,NULL
"463","34","Tapanuli Selatan",NULL,NULL
"464","34","Tapanuli Tengah",NULL,NULL
"465","34","Tapanuli Utara",NULL,NULL
"466","13","Tapin",NULL,NULL
"467","16","Tarakan",NULL,NULL
"468","9","Tasikmalaya",NULL,NULL
"469","9","Tasikmalaya",NULL,NULL
"470","34","Tebing Tinggi",NULL,NULL
"471","8","Tebo",NULL,NULL
"472","10","Tegal",NULL,NULL
"473","10","Tegal",NULL,NULL
"474","25","Teluk Bintuni",NULL,NULL
"475","25","Teluk Wondama",NULL,NULL
"476","10","Temanggung",NULL,NULL
"477","20","Ternate",NULL,NULL
"478","20","Tidore Kepulauan",NULL,NULL
"479","23","Timor Tengah Selatan",NULL,NULL
"480","23","Timor Tengah Utara",NULL,NULL
"481","34","Toba Samosir",NULL,NULL
"482","29","Tojo Una-Una",NULL,NULL
"483","29","Toli-Toli",NULL,NULL
"484","24","Tolikara",NULL,NULL
"485","31","Tomohon",NULL,NULL
"486","28","Toraja Utara",NULL,NULL
"487","11","Trenggalek",NULL,NULL
"488","19","Tual",NULL,NULL
"489","11","Tuban",NULL,NULL
"490","18","Tulang Bawang",NULL,NULL
"491","18","Tulang Bawang Barat",NULL,NULL
"492","11","Tulungagung",NULL,NULL
"493","28","Wajo",NULL,NULL
"494","30","Wakatobi",NULL,NULL
"495","24","Waropen",NULL,NULL
"496","18","Way Kanan",NULL,NULL
"497","10","Wonogiri",NULL,NULL
"498","10","Wonosobo",NULL,NULL
"499","24","Yahukimo",NULL,NULL
"500","24","Yalimo",NULL,NULL
"501","5","Yogyakarta",NULL,NULL
